movie,url,year,imdb,metascore,votes,certificate,runtime,genres,description,director,stars,revenue
The Favourite,https://www.imdb.com/title/tt5083738/,2018,7.5,91,195072,R,119 min,"Biography, Comedy, Drama            ","In early 18th-century England, the status quo at the court is upset when a new servant arrives and endears herself to a frail Queen Anne.",Yorgos Lanthimos,"Olivia Colman, Emma Stone, Rachel Weisz, Nicholas Hoult","34,366,783"
Wild Tales,https://www.imdb.com/title/tt3011894/,2014,8.1,77,193812,R,122 min,"Comedy, Drama, Thriller            ",Six short stories that explore the extremities of human behavior involving people in distress.,Damián Szifron,"Darío Grandinetti, María Marull, Mónica Villa, Diego Starosta","3,107,072"
Adaptation.,https://www.imdb.com/title/tt0268126/,2002,7.7,83,190365,R,115 min,"Comedy, Drama            ",A lovelorn screenwriter becomes desperate as he tries and fails to adapt 'The Orchid Thief' by Susan Orlean for the screen.,Spike Jonze,"Nicolas Cage, Meryl Streep, Chris Cooper, Tilda Swinton","22,245,861"
Sideways,https://www.imdb.com/title/tt0375063/,2004,7.5,94,189399,R,127 min,"Comedy, Drama, Romance            ","Two men reaching middle age with not much to show but disappointment embark on a week-long road trip through California's wine country, just as one is about to take a trip down the aisle.",Alexander Payne,"Paul Giamatti, Thomas Haden Church, Virginia Madsen, Sandra Oh","71,503,593"
What We Do in the Shadows,https://www.imdb.com/title/tt3416742/,2014,7.6,76,178203,R,86 min,"Comedy, Horror            ","Viago, Deacon, and Vladislav are vampires who are struggling with the mundane aspects of modern life, like paying rent, keeping up with the chore wheel, trying to get into nightclubs, and overcoming flatmate conflicts.",None,"Jemaine Clement, Taika Waititi, Cori Gonzalez-Macuer, Jonny Brugh","3,333,000"
Tucker and Dale vs Evil,https://www.imdb.com/title/tt1465522/,2010,7.5,65,176464,R,89 min,"Comedy, Horror            ",Affable hillbillies Tucker and Dale are on vacation at their dilapidated mountain cabin when they are mistaken for murderers by a group of preppy college students.,Eli Craig,"Tyler Labine, Alan Tudyk, Katrina Bowden, Jesse Moss","223,838"
Isle of Dogs,https://www.imdb.com/title/tt5104604/,2018,7.8,82,163402,PG-13,101 min,"Animation, Adventure, Comedy            ","Set in Japan, Isle of Dogs follows a boy's odyssey in search of his lost dog.",Wes Anderson,"Bryan Cranston, Koyu Rankin, Edward Norton, Bob Balaban","32,015,231"
Saving Mr. Banks,https://www.imdb.com/title/tt2140373/,2013,7.5,65,160290,PG-13,125 min,"Biography, Comedy, Drama            ","Author P.L. Travers reflects on her childhood after reluctantly meeting with Walt Disney, who seeks to adapt her Mary Poppins books for the big screen.",John Lee Hancock,"Emma Thompson, Tom Hanks, Annie Rose Buckley, Colin Farrell","83,301,580"
Good Bye Lenin!,https://www.imdb.com/title/tt0301357/,2003,7.7,68,144886,R,121 min,"Comedy, Drama, Romance            ","In 1990, to protect his fragile mother from a fatal shock after a long coma, a young man must keep her from learning that her beloved nation of East Germany as she knew it has disappeared.",Wolfgang Becker,"Daniel Brühl, Katrin Sass, Chulpan Khamatova, Florian Lukas","4,064,200"
Another Round,https://www.imdb.com/title/tt10288566/,2020,7.7,79,143369,Not Rated,117 min,"Comedy, Drama            ",Four high-school teachers consume alcohol on a daily basis to see how it affects their social and professional lives.,Thomas Vinterberg,"Mads Mikkelsen, Thomas Bo Larsen, Magnus Millang, Lars Ranthe",143369
Klaus,https://www.imdb.com/title/tt4729430/,2019,8.1,65,141991,PG,96 min,"Animation, Adventure, Comedy            ","A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions.",None,"Jason Schwartzman, J.K. Simmons, Rashida Jones, Will Sasso",141991
Ponyo,https://www.imdb.com/title/tt0876563/,2008,7.6,86,139841,G,101 min,"Animation, Adventure, Comedy            ","A five-year-old boy develops a relationship with Ponyo, a young goldfish princess who longs to become a human after falling in love with him.",Hayao Miyazaki,"Cate Blanchett, Matt Damon, Liam Neeson, Tomoko Yamaguchi","15,090,400"
Kung Fu Hustle,https://www.imdb.com/title/tt0373074/,2004,7.7,78,137010,R,99 min,"Action, Comedy, Fantasy            ","In Shanghai, China in the 1940s, a wannabe gangster aspires to join the notorious ""Axe Gang"" while residents of a housing complex exhibit extraordinary powers in defending their turf.",Stephen Chow,"Stephen Chow, Wah Yuen, Qiu Yuen, Siu-Lung Leung","17,108,591"
Wallace & Gromit: The Curse of the Were-Rabbit,https://www.imdb.com/title/tt0312004/,2005,7.5,87,133723,G,85 min,"Animation, Adventure, Comedy            ","Wallace and his loyal dog, Gromit, set out to discover the mystery behind the garden sabotage that plagues their village and threatens the annual giant vegetable growing contest.",None,"Peter Sallis, Helena Bonham Carter, Ralph Fiennes, Peter Kay","56,110,897"
The Big Sick,https://www.imdb.com/title/tt5462602/,2017,7.5,86,132969,R,120 min,"Comedy, Drama, Romance            ","Pakistan-born comedian Kumail Nanjiani and grad student Emily Gardner fall in love but struggle as their cultures clash. When Emily contracts a mysterious illness, Kumail finds himself forced to face her feisty parents, his family's expectations, and his true feelings.",Michael Showalter,"Kumail Nanjiani, Zoe Kazan, Holly Hunter, Ray Romano","42,873,127"
Me and Earl and the Dying Girl,https://www.imdb.com/title/tt2582496/,2015,7.7,74,130159,PG-13,105 min,"Comedy, Drama            ","High schooler Greg, who spends most of his time making parodies of classic movies with his co-worker Earl, finds his outlook forever altered after befriending a classmate who has just been diagnosed with cancer.",Alfonso Gomez-Rejon,"Thomas Mann, RJ Cyler, Olivia Cooke, Nick Offerman","6,743,776"
Hunt for the Wilderpeople,https://www.imdb.com/title/tt4698684/,2016,7.8,81,127230,PG-13,101 min,"Adventure, Comedy, Drama            ",A national manhunt is ordered for a rebellious kid and his foster uncle who go missing in the wild New Zealand bush.,Taika Waititi,"Sam Neill, Julian Dennison, Rima Te Wiata, Rachel House","5,202,582"
The Two Popes,https://www.imdb.com/title/tt8404614/,2019,7.6,75,121196,PG-13,125 min,"Biography, Comedy, Drama            ","Behind Vatican walls, the conservative Pope Benedict XVI and the liberal future Pope Francis must find common ground to forge a new path for the Catholic Church.",Fernando Meirelles,"Anthony Hopkins, Jonathan Pryce, Juan Minujín, Luis Gnecco",121196
Nebraska,https://www.imdb.com/title/tt1821549/,2013,7.7,87,117259,R,115 min,"Adventure, Comedy, Drama            ","An aging, booze-addled father makes the trip from Montana to Nebraska with his estranged son in order to claim a million-dollar Mega Sweepstakes Marketing prize.",Alexander Payne,"Bruce Dern, Will Forte, June Squibb, Bob Odenkirk","17,654,912"
"Love, Simon",https://www.imdb.com/title/tt5164432/,2018,7.5,72,111462,PG-13,110 min,"Comedy, Drama, Romance            ","Simon Spier keeps a huge secret from his family, his friends and all of his classmates: he's gay. When that secret is threatened, Simon must face everyone and come to terms with his identity.",Greg Berlanti,"Nick Robinson, Jennifer Garner, Josh Duhamel, Katherine Langford","40,826,341"
CODA,https://www.imdb.com/title/tt10366460/,2021,8.0,74,108354,PG-13,111 min,"Comedy, Drama, Music            ","As a CODA (Child of Deaf Adults) Ruby is the only hearing person in her deaf family. When the family's fishing business is threatened, Ruby finds herself torn between pursuing her passion at Berklee College of Music and her fear of abandoning her parents.",Sian Heder,"Emilia Jones, Marlee Matlin, Troy Kotsur, Daniel Durant",108354
